                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8672,                 3.7385,                  1.418,                0.02725,                0.47689,                0.11777,                0.06835,                  1.509,                 3.4905,                 1.1725,             0.00025023,             0.00025023,             0.00025023
                      2,                 1.6419,                 2.4286,                 1.3153,                0.31853,                0.29435,                0.24654,                0.14115,                  1.546,                 2.2873,                 1.2631,             0.00045641,             0.00045641,             0.00045641
                      3,                 1.6038,                 2.0898,                 1.2738,                 0.3009,                0.39253,                0.31739,                0.18121,                 1.5372,                 1.8809,                 1.2253,             0.00061184,             0.00061184,             0.00061184
                      4,                 1.5246,                 1.9422,                 1.2493,                0.29683,                0.42645,                0.33514,                0.19129,                 1.4749,                 1.8198,                 1.2246,             0.00054061,             0.00054061,             0.00054061
                      5,                 1.5032,                 1.8768,                 1.2506,                0.36033,                0.44782,                0.38106,                0.22178,                 1.4764,                 1.7786,                 1.2324,             0.00054061,             0.00054061,             0.00054061
                      6,                  1.497,                 1.7949,                 1.2305,                0.44734,                0.43958,                0.43842,                0.24577,                 1.4552,                 1.7001,                 1.1974,             0.00046448,             0.00046448,             0.00046448
                      7,                  1.464,                 1.7396,                 1.2056,                0.43651,                0.47694,                0.44187,                0.26095,                 1.4051,                 1.6021,                 1.1865,             0.00038835,             0.00038835,             0.00038835
                      8,                 1.4455,                 1.7174,                 1.2035,                0.43764,                0.47851,                0.45405,                0.26316,                 1.4159,                 1.6711,                 1.1742,             0.00031221,             0.00031221,             0.00031221
                      9,                  1.413,                 1.6469,                  1.176,                0.50296,                0.52375,                0.50137,                0.29802,                 1.3886,                 1.5196,                 1.1669,             0.00023608,             0.00023608,             0.00023608
                     10,                 1.3976,                 1.6162,                 1.1755,                0.50008,                0.55324,                0.51276,                0.30348,                 1.3621,                 1.4733,                 1.1571,             0.00015995,             0.00015995,             0.00015995
