                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7335,                 3.4356,                  1.645,                0.61575,                 0.1815,                0.14969,                0.08939,                    nan,                    nan,                    nan,             0.00025364,             0.00025364,             0.00025364
                      2,                 1.5888,                 2.6721,                 1.5841,                0.51543,                0.25498,                0.18214,                 0.0989,                    nan,                    nan,                    nan,             0.00045948,             0.00045948,             0.00045948
                      3,                 1.6007,                 2.5073,                 1.5899,                0.39011,                0.31091,                 0.2063,                0.10953,                    nan,                    nan,                    nan,             0.00061457,             0.00061457,             0.00061457
                      4,                 1.5314,                 2.3655,                 1.5407,                0.51882,                0.28286,                0.26919,                0.15504,                    nan,                    nan,                    nan,             0.00054061,             0.00054061,             0.00054061
                      5,                 1.4985,                 2.2586,                 1.5211,                 0.3833,                0.34153,                0.28586,                  0.151,                    nan,                    nan,                    nan,             0.00054061,             0.00054061,             0.00054061
                      6,                  1.463,                 2.1797,                 1.4965,                0.39121,                 0.4158,                 0.3374,                0.19051,                    nan,                    nan,                    nan,             0.00046448,             0.00046448,             0.00046448
                      7,                 1.4315,                 2.0653,                 1.4716,                0.41057,                0.44923,                0.36616,                0.20899,                    nan,                    nan,                    nan,             0.00038835,             0.00038835,             0.00038835
                      8,                 1.3928,                 1.9807,                 1.4424,                0.49848,                0.41601,                0.37282,                0.22362,                    nan,                    nan,                    nan,             0.00031221,             0.00031221,             0.00031221
                      9,                   1.34,                 1.8958,                 1.4054,                0.48574,                0.42604,                0.37851,                0.22305,                    nan,                    nan,                    nan,             0.00023608,             0.00023608,             0.00023608
                     10,                 1.3126,                 1.8355,                 1.3801,                0.50265,                0.41967,                0.40597,                0.23778,                    nan,                    nan,                    nan,             0.00015995,             0.00015995,             0.00015995
