                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.879,                 4.9936,                 4.1822,                0.00014,                0.00855,                0.00013,                  4e-05,                 4.3967,                 5.3693,                 4.2051,             0.00015009,             0.00015009,             0.00015009
                      2,                  3.222,                  4.049,                 3.5966,                0.54602,                0.06096,                0.03793,                0.00992,                 3.2312,                 5.3689,                 3.3155,             0.00027188,             0.00027188,             0.00027188
                      3,                 2.7931,                 3.4278,                 3.0821,                  0.335,                0.12853,                0.06215,                0.01813,                 2.6869,                 3.2817,                 2.9659,             0.00036364,             0.00036364,             0.00036364
                      4,                 2.3647,                 3.0552,                 2.7169,                0.40844,                0.16593,                0.12685,                0.05249,                 2.3815,                 2.9577,                  2.584,             0.00031986,             0.00031986,             0.00031986
                      5,                 2.0253,                 2.7111,                 2.4093,                0.45581,                0.26701,                0.23198,                0.10701,                 2.1393,                 2.5764,                 2.3381,             0.00031986,             0.00031986,             0.00031986
                      6,                 1.8283,                 2.4741,                 2.2069,                0.46449,                0.38773,                0.34243,                0.17461,                 1.9582,                 2.4072,                 2.1271,             0.00027482,             0.00027482,             0.00027482
                      7,                 1.6898,                 2.2936,                 2.0615,                0.37291,                0.39326,                0.36026,                0.18628,                 1.8465,                 2.2139,                  2.025,             0.00022978,             0.00022978,             0.00022978
                      8,                 1.5791,                 2.1582,                  1.944,                0.34736,                0.46719,                0.42054,                0.24035,                 1.6933,                 2.0269,                 1.8704,             0.00018473,             0.00018473,             0.00018473
                      9,                 1.5196,                 2.0603,                 1.8772,                0.44677,                0.55037,                0.48941,                0.28017,                 1.6542,                 1.8887,                 1.7961,             0.00013969,             0.00013969,             0.00013969
                     10,                 1.4758,                 1.9849,                 1.8186,                0.45522,                0.54908,                 0.4833,                 0.2595,                 1.7867,                 1.8581,                 1.8353,              9.464e-05,              9.464e-05,              9.464e-05
