                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0186,                 4.9538,                 4.1551,                 0.0001,                0.00855,                0.00014,                  3e-05,                 4.3563,                 5.3343,                 4.1903,             0.00015009,             0.00015009,             0.00015009
                      2,                 3.3475,                 4.0873,                 3.6005,                 0.3492,                0.09534,                0.02614,                0.00735,                 3.3579,                 4.0901,                 3.4654,             0.00028682,             0.00028682,             0.00028682
                      3,                 2.7473,                 3.3873,                 2.9913,                0.45473,                0.09077,                0.06503,                0.02481,                 2.5011,                 3.2357,                 2.6959,             0.00040853,             0.00040853,             0.00040853
                      4,                 2.2309,                 2.9259,                 2.5251,                0.31625,                 0.1907,                0.17726,                0.07089,                 2.2796,                 2.7683,                 2.3442,             0.00038743,             0.00038743,             0.00038743
                      5,                 1.9672,                 2.5925,                 2.2417,                0.42159,                0.30448,                0.25911,                0.11514,                 2.1447,                 2.5198,                 2.2185,             0.00038743,             0.00038743,             0.00038743
                      6,                 1.7921,                 2.4173,                 2.0648,                 0.4252,                0.39483,                0.37728,                0.21118,                 1.7947,                 2.2119,                 1.9442,             0.00036491,             0.00036491,             0.00036491
                      7,                 1.6834,                 2.2697,                 1.9454,                0.43319,                0.49315,                0.39752,                0.21863,                 1.7934,                 2.0933,                 1.8608,             0.00034239,             0.00034239,             0.00034239
                      8,                 1.5947,                 2.1507,                 1.8416,                0.50004,                0.43513,                0.45625,                0.24611,                 1.7675,                 1.9641,                 1.7712,             0.00031986,             0.00031986,             0.00031986
                      9,                 1.5427,                 2.0816,                 1.7827,                0.39036,                0.53124,                0.47797,                0.28628,                 1.6324,                 1.9386,                 1.6974,             0.00029734,             0.00029734,             0.00029734
                     10,                 1.5082,                 2.0067,                 1.7274,                0.46764,                0.62515,                0.55976,                0.33235,                 1.5414,                 1.7621,                  1.609,             0.00027482,             0.00027482,             0.00027482
                     11,                 1.3559,                 1.9282,                 1.6293,                0.58172,                0.60243,                0.59171,                0.36278,                 1.5047,                 1.7567,                 1.5642,              0.0002523,              0.0002523,              0.0002523
                     12,                  1.311,                 1.8165,                 1.5791,                0.54822,                0.62406,                0.62322,                0.40008,                 1.4447,                 1.6462,                 1.4909,             0.00022978,             0.00022978,             0.00022978
                     13,                  1.273,                 1.7686,                 1.5506,                0.58256,                 0.6029,                0.62349,                0.40619,                 1.3615,                 1.6296,                 1.4384,             0.00020725,             0.00020725,             0.00020725
                     14,                 1.2356,                 1.7169,                 1.5095,                0.62083,                0.60326,                0.63434,                0.41931,                 1.3755,                 1.5477,                 1.4332,             0.00018473,             0.00018473,             0.00018473
                     15,                 1.2103,                 1.6572,                 1.4818,                0.60425,                0.64081,                0.64677,                0.44382,                 1.2649,                 1.5133,                 1.3888,             0.00016221,             0.00016221,             0.00016221
                     16,                 1.1887,                   1.61,                 1.4608,                0.61303,                0.62048,                0.63392,                0.42177,                 1.3419,                 1.4854,                 1.4093,             0.00013969,             0.00013969,             0.00013969
                     17,                 1.1775,                  1.575,                 1.4464,                0.61898,                0.66031,                0.67104,                0.45116,                 1.2436,                 1.4104,                 1.3495,             0.00011716,             0.00011716,             0.00011716
                     18,                 1.1585,                  1.551,                 1.4238,                0.61453,                0.67088,                0.66285,                0.45579,                 1.2618,                 1.4126,                 1.3526,              9.464e-05,              9.464e-05,              9.464e-05
                     19,                 1.1395,                 1.5244,                 1.4164,                0.63874,                0.65648,                0.67858,                0.45835,                 1.2916,                 1.3975,                 1.3476,             7.2118e-05,             7.2118e-05,             7.2118e-05
                     20,                 1.1287,                 1.4997,                 1.4046,                0.60902,                0.70735,                0.68499,                 0.4637,                  1.306,                 1.3858,                 1.3523,             4.9595e-05,             4.9595e-05,             4.9595e-05
