                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5326,                 4.5101,                 4.2119,                0.00154,                0.04024,                 0.0016,                0.00042,                 4.7343,                 4.6601,                 4.1682,             0.00027243,             0.00027243,             0.00027243
                      2,                 4.1429,                  3.917,                 3.8513,                0.00086,                0.02473,                 0.0005,                0.00016,                 4.6633,                 4.8278,                  4.244,             0.00052286,             0.00052286,             0.00052286
                      3,                 3.7652,                 3.3047,                 3.3582,                 0.1469,                0.05038,                0.01132,                0.00311,                  3.574,                 3.3529,                 3.1599,             0.00074581,             0.00074581,             0.00074581
                      4,                 3.4588,                 3.0434,                 3.0488,                0.03724,                0.09846,                0.01961,                0.00599,                 3.4029,                  3.306,                 3.0022,              0.0007093,              0.0007093,              0.0007093
                      5,                 3.1695,                  2.852,                 2.8163,                0.02279,                0.15543,                0.02532,                0.00829,                 3.1431,                  3.008,                 2.8198,             0.00066807,             0.00066807,             0.00066807
                      6,                 2.9714,                 2.6971,                 2.6218,                0.23052,                0.11491,                0.04659,                0.01643,                  2.826,                 2.6558,                 2.5098,             0.00062683,             0.00062683,             0.00062683
                      7,                 2.8277,                 2.6383,                 2.5118,                0.08977,                0.11967,                0.05191,                 0.0189,                  2.795,                 2.6536,                 2.4632,              0.0005856,              0.0005856,              0.0005856
                      8,                 2.7266,                 2.5482,                 2.4087,                0.37811,                 0.1307,                0.07786,                0.02999,                   2.56,                 2.4651,                 2.2973,             0.00054437,             0.00054437,             0.00054437
                      9,                 2.6082,                 2.4857,                  2.313,                0.38119,                0.11933,                0.07906,                0.03245,                 2.4994,                 2.4722,                 2.2532,             0.00050313,             0.00050313,             0.00050313
                     10,                 2.4989,                 2.4309,                 2.2319,                0.37427,                0.14915,                0.08459,                0.03532,                 2.4266,                 2.3842,                 2.1826,              0.0004619,              0.0004619,              0.0004619
                     11,                 2.4131,                 2.5113,                 2.1565,                0.36845,                 0.1222,                 0.0761,                0.03391,                 2.3195,                 2.4556,                 2.0924,             0.00042066,             0.00042066,             0.00042066
                     12,                 2.3728,                 2.4457,                 2.1073,                0.40731,                0.15327,                0.10132,                0.04621,                 2.2635,                 2.3553,                 2.0399,             0.00037943,             0.00037943,             0.00037943
                     13,                 2.3184,                  2.403,                 2.0572,                0.27104,                0.13545,                0.08839,                0.03943,                 2.2589,                 2.4272,                 2.0324,              0.0003382,              0.0003382,              0.0003382
                     14,                  2.267,                 2.3641,                 2.0224,                0.27391,                0.16819,                0.11068,                0.05042,                 2.2172,                 2.3047,                 2.0105,             0.00029696,             0.00029696,             0.00029696
                     15,                 2.2339,                 2.3368,                 1.9898,                0.28165,                 0.1623,                0.11236,                 0.0515,                 2.1735,                 2.3089,                 1.9637,             0.00025573,             0.00025573,             0.00025573
                     16,                 2.2179,                 2.3047,                 1.9695,                0.27878,                0.16602,                0.11904,                 0.0543,                 2.1697,                 2.2995,                 1.9733,              0.0002145,              0.0002145,              0.0002145
                     17,                 2.1803,                 2.2807,                 1.9515,                0.30008,                0.19166,                0.13699,                0.06368,                 2.1155,                 2.2491,                 1.9308,             0.00017326,             0.00017326,             0.00017326
                     18,                 2.1568,                 2.2754,                 1.9341,                0.29419,                0.19516,                0.14022,                0.06527,                  2.073,                 2.2295,                 1.9022,             0.00013203,             0.00013203,             0.00013203
                     19,                 2.1522,                 2.2671,                  1.923,                   0.29,                0.19359,                0.14336,                0.06756,                 2.0886,                 2.2251,                 1.9084,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                 2.1409,                  2.251,                 1.9226,                0.16796,                0.21258,                 0.1477,                0.07086,                 2.0633,                 2.1963,                 1.8902,             4.9564e-05,             4.9564e-05,             4.9564e-05
