                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2295,                 5.5675,                 4.2877,                      0,                      0,                      0,                      0,                 4.2156,                 5.6176,                 4.1665,             6.9924e-05,             6.9924e-05,             6.9924e-05
                      2,                 4.1474,                 5.3769,                  4.148,                  8e-05,                0.01605,                0.00029,                  9e-05,                 4.1539,                 5.6719,                 4.2034,             0.00013395,             0.00013395,             0.00013395
                      3,                 4.0176,                 5.1403,                 3.9649,                0.00051,                0.03059,                0.00035,                  9e-05,                 3.8324,                 5.3158,                 3.8079,             0.00019094,             0.00019094,             0.00019094
                      4,                 3.9198,                 4.9066,                 3.7643,                0.00221,                0.04177,                0.00145,                0.00031,                 3.7299,                 5.0433,                   3.57,             0.00018137,             0.00018137,             0.00018137
                      5,                 3.7926,                 4.6812,                 3.5814,                0.26074,                0.00834,                0.00206,                0.00059,                 3.6426,                 4.6381,                 3.3643,             0.00017083,             0.00017083,             0.00017083
                      6,                 3.6339,                 4.4532,                 3.4238,                0.26276,                0.01823,                0.00484,                0.00118,                 3.4807,                 4.4221,                 3.2102,             0.00016028,             0.00016028,             0.00016028
                      7,                 3.5122,                 4.2614,                 3.2716,                0.17881,                0.03447,                0.00649,                0.00192,                 3.3629,                 4.3033,                 3.1502,             0.00014974,             0.00014974,             0.00014974
                      8,                 3.3742,                 4.0964,                 3.1313,                0.32996,                0.02158,                0.00891,                0.00276,                 3.2431,                 4.0495,                 2.9975,              0.0001392,              0.0001392,              0.0001392
                      9,                 3.2484,                 3.9717,                 3.0209,                0.28402,                0.03547,                0.01136,                0.00375,                 3.1469,                 3.8602,                 2.8625,             0.00012865,             0.00012865,             0.00012865
                     10,                 3.1587,                 3.8495,                 2.9112,                0.34807,                 0.0325,                0.01603,                0.00531,                 3.0446,                 3.8293,                 2.7805,             0.00011811,             0.00011811,             0.00011811
                     11,                 2.9801,                 3.7286,                 2.7647,                0.40208,                0.02998,                0.01884,                0.00671,                 2.9602,                 3.5873,                 2.6486,             0.00010757,             0.00010757,             0.00010757
                     12,                 2.8808,                 3.5997,                 2.6743,                0.44312,                0.03619,                0.02341,                0.00847,                 2.8624,                 3.5327,                 2.5819,             9.7021e-05,             9.7021e-05,             9.7021e-05
                     13,                 2.7855,                 3.5031,                 2.6059,                0.35708,                0.04488,                0.02792,                0.01109,                  2.753,                 3.4142,                 2.4976,             8.6478e-05,             8.6478e-05,             8.6478e-05
                     14,                  2.712,                 3.4058,                 2.5432,                0.30858,                0.05625,                0.03089,                0.01189,                 2.7009,                 3.4009,                 2.4828,             7.5935e-05,             7.5935e-05,             7.5935e-05
                     15,                  2.634,                 3.3514,                 2.4885,                0.39281,                0.05481,                0.03253,                0.01279,                 2.6606,                 3.3725,                 2.4443,             6.5391e-05,             6.5391e-05,             6.5391e-05
                     16,                 2.6083,                 3.2989,                 2.4604,                0.33102,                0.06502,                0.04008,                0.01687,                 2.5645,                 3.1963,                 2.3646,             5.4847e-05,             5.4847e-05,             5.4847e-05
                     17,                 2.5556,                 3.2647,                 2.4246,                0.34462,                 0.0718,                 0.0436,                0.01911,                  2.524,                 3.1415,                 2.3141,             4.4304e-05,             4.4304e-05,             4.4304e-05
                     18,                 2.5262,                 3.2281,                 2.3968,                0.31402,                0.07804,                0.04702,                0.02099,                 2.4889,                 3.1106,                 2.2915,             3.3761e-05,             3.3761e-05,             3.3761e-05
                     19,                 2.4994,                 3.1869,                 2.3756,                0.34092,                0.08237,                0.04728,                0.02146,                 2.4673,                 3.0864,                 2.2735,             2.3217e-05,             2.3217e-05,             2.3217e-05
                     20,                 2.4926,                 3.1807,                 2.3571,                0.31989,                0.08452,                0.04865,                0.02207,                  2.452,                 3.0771,                 2.2636,             1.2674e-05,             1.2674e-05,             1.2674e-05
